file_name,year,degreeSeekingFirstYear_AAPI,degreeSeekingFirstYear_AIAN,degreeSeekingFirstYear_Black,degreeSeekingFirstYear_Latinx,degreeSeekingFirstYear_Unknown,degreeSeekingFirstYear_intl,degreeSeekingFirstYear_white,degreeSeekingFirstYear_Asian,degreeSeekingFirstYear_NHPI,degreeSeekingFirstYear_multi,degreeSeekingAll_AAPI,degreeSeekingAll_AIAN,degreeSeekingAll_Black,degreeSeekingAll_Latinx,degreeSeekingAll_Unknown,degreeSeekingAll_intl,degreeSeekingAll_white,degreeSeekingAll_Asian,degreeSeekingAll_NHPI,degreeSeekingAll_multi,allStudents_AAPI,allStudents_AIAN,allStudents_Black,allStudents_Latinx,allStudents_Unknown,allStudents_intl,allStudents_white,allStudents_Asian,allStudents_NHPI,allStudents_multi,forbes_ranking,school_name,public_private,Rigor of secondary school record,Class rank,Academic GPA,Standardized test scores,Application Essay,Recommendation(s),Interview,Extracurricular activities,Talent/ability,Character/personal qualities,First Generation,Alumni/ae relation,Geographical residence,State residency,Religious affiliation/commitment,Racial/ethnic status,Volunteer work,Work experience,Level of applicant’s interest
40_10_11,2010,0,6,359,508,54,907,3945,980,26,144,0,44,1777,2134,226,3184,18704,4041,55,556,0,46,1800,2163,266,3508,19021,4119,56,561,40,UIUC,Public,4,3,4,3,3,1,1,3,3,2,2,1,2,2,1,2,2,2,1
41_10_11,2010,0,7,508,297,189,75,2171,561,0,121,0,45,3084,1894,772,588,15148,3959,37,667,0,46,3192,1927,858,632,15427,4012,37,745,41,UMD,Public,4,3,4,4,3,3,1,2,3,2,3,2,2,3,1,2,2,2,1
44_10_11,2010,0,102,167,360,160,564,2527,1582,34,1,0,397,950,1695,1234,2024,13526,7628,192,1,0,403,966,1724,2281,2031,13955,7747,194,1,44,University of Washington,Public,4,1,4,3,4,1,1,3,3,1,3,1,1,2,1,1,3,3,1
46_10_11,2010,0,15,333,1680,10,282,3462,1260,4,229,0,149,1778,7362,135,1712,19391,6770,10,382,0,153,1800,7462,146,1724,19877,6858,11,389,46,UT Austin,Public,4,4,1,3,3,2,1,3,3,2,2,1,1,2,1,2,3,3,1
50_10_11,2010,0,17,120,226,14,372,4681,344,9,144,0,115,702,1134,643,1673,22591,1576,26,437,0,119,754,1176,816,1918,23632,1659,27,454,50,U-Wisconsin,Public,4,4,4,3,3,2,1,2,2,2,2,2,1,3,1,2,2,2,2
55_10_11,2010,0,4,92,117,126,43,868,82,0,66,0,37,406,445,995,160,3251,426,8,134,0,37,407,447,1000,163,3272,429,8,135,55,William & Mary,Public,4,4,4,4,4,4,2,4,4,4,2,2,2,4,1,2,4,4,1
57_10_11,2010,0,14,18,432,171,33,2250,348,8,250,0,93,128,2099,1161,151,11187,1805,23,628,0,93,128,2101,1165,191,11198,1805,23,628,57,"Cal Poly State, San Luis Obispo",Public,4,1,4,4,1,1,1,2,2,1,2,1,2,1,1,1,2,2,1
62_10_11,2010,0,4,343,200,168,29,3352,426,7,150,0,45,1780,917,656,179,19900,1897,14,321,0,0,0,0,0,0,0,0,0,0,62,University of Georgia,Public,4,1,4,3,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1
65_10_11,2010,0,68,570,947,109,12,4043,178,0,0,0,295,3233,4255,435,132,21409,1071,0,0,0,301,3304,4294,446,307,21679,1087,0,0,65,Florida State University,Public,4,2,4,3,2,2,1,2,3,2,2,2,2,3,1,1,2,2,1
68_10_11,2010,0,21,394,176,93,46,3604,243,7,121,0,113,1943,771,775,335,18007,1222,12,322,0,122,2068,838,854,476,19217,1326,14,331,68,NC State,Public,4,4,4,4,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1
